,time,current,shot_count,slope
119,1.9833333333333334,-1.25,4.0,-190800.0
120,2.0,0.0,4.0,74.99999
121,2.0166666666666666,0.0,4.0,0.0
122,2.033333333333333,-1.25,4.0,-74.99999
123,2.05,-1.25,4.0,0.0
124,2.066666666666667,-1.25,4.0,0.0
125,2.0833333333333335,0.0,4.0,74.99999
126,2.1,-2.5,4.0,-150.0
127,2.1166666666666667,0.0,4.0,150.0
128,2.1333333333333333,1.25,4.0,74.99999
129,2.15,-1.25,4.0,-150.0
130,2.1666666666666665,-3.75,4.0,-150.0
131,2.183333333333333,0.0,4.0,225.0
132,2.2,1.25,4.0,74.99999
133,2.216666666666667,-1.25,4.0,-150.0
134,2.2333333333333334,0.0,4.0,74.99999
135,2.25,-1.25,4.0,-74.99999
136,2.2666666666666666,0.0,4.0,74.99999
137,2.283333333333333,-1.25,4.0,-74.99999
138,2.3,0.0,4.0,74.99999
139,2.316666666666667,-1.25,4.0,-74.99999
140,2.3333333333333335,0.0,4.0,74.99999
141,2.35,2.5,4.0,150.0
142,2.3666666666666667,1.25,4.0,-74.99999
143,2.3833333333333333,-1.25,4.0,-150.0
144,2.4,0.0,4.0,74.99999
145,2.4166666666666665,-1.25,4.0,-74.99999
146,2.433333333333333,-1.25,4.0,0.0
147,2.45,0.0,4.0,74.99999
148,2.466666666666667,0.0,4.0,0.0
149,2.4833333333333334,0.0,4.0,0.0
150,2.5,1.25,4.0,74.99999
151,2.5166666666666666,-1.25,4.0,-150.0
152,2.533333333333333,0.0,4.0,74.99999
153,2.55,0.0,4.0,0.0
154,2.566666666666667,1.25,4.0,74.99999
155,2.5833333333333335,-2.5,4.0,-225.0
156,2.6,-1.25,4.0,74.99999
157,2.6166666666666667,0.0,4.0,74.99999
158,2.6333333333333333,-1.25,4.0,-74.99999
159,2.65,-1.25,4.0,0.0
160,2.6666666666666665,0.0,4.0,74.99999
161,2.683333333333333,-1.25,4.0,-74.99999
162,2.7,0.0,4.0,74.99999
163,2.716666666666667,-1.25,4.0,-74.99999
164,2.7333333333333334,0.0,4.0,74.99999
165,2.75,-1.25,4.0,-74.99999
166,2.7666666666666666,-1.25,4.0,0.0
167,2.783333333333333,0.0,4.0,74.99999
168,2.8,-2.5,4.0,-150.0
169,2.816666666666667,-2.5,4.0,0.0
170,2.8333333333333335,-1.25,4.0,74.99999
171,2.85,0.0,4.0,74.99999
172,2.8666666666666667,0.0,4.0,0.0
173,2.8833333333333333,0.0,4.0,0.0
174,2.9,1.25,4.0,74.99999
175,2.9166666666666665,0.0,4.0,-74.99999
176,2.933333333333333,-1.25,4.0,-74.99999
177,2.95,-1.25,4.0,0.0
178,2.966666666666667,0.0,4.0,74.99999
179,2.9833333333333334,1.25,4.0,74.99999
180,3.0,0.0,4.0,-74.99999
181,3.0166666666666666,-1.25,4.0,-74.99999
