epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.960687,0.26787,0.46735,0.81906,0.98828,1,0.995,0.97486,0.25741,0.24104,0.80488,2.858e-05,2.858e-05,2.858e-05
2,1.70194,0.27701,0.64105,0.82625,0.98868,1,0.995,0.95909,0.27362,0.24566,0.80435,7.07426e-05,7.07426e-05,7.07426e-05
3,2.5073,0.28029,0.43242,0.81539,0.97977,1,0.995,0.94484,0.274,0.27038,0.80067,0.000112056,0.000112056,0.000112056
4,3.30716,0.29503,0.49618,0.83439,0.97979,1,0.995,0.94198,0.27613,0.28549,0.80839,0.000152521,0.000152521,0.000152521
5,4.14808,0.2835,0.42768,0.81675,0.98451,1,0.995,0.92662,0.31622,0.28927,0.80802,0.000192138,0.000192138,0.000192138
6,4.93684,0.34704,0.56314,0.85378,0.98212,1,0.995,0.90485,0.32229,0.26705,0.80251,0.000230905,0.000230905,0.000230905
7,5.71141,0.39787,0.65037,0.87518,0.96001,1,0.995,0.91577,0.33093,0.33021,0.80014,0.000268823,0.000268823,0.000268823
8,6.47313,0.31202,0.48836,0.81696,0.96223,1,0.995,0.92339,0.32655,0.34758,0.80294,0.000305893,0.000305893,0.000305893
9,7.34093,0.28528,0.47493,0.81777,0.9877,1,0.995,0.92017,0.32099,0.32951,0.81349,0.000342114,0.000342114,0.000342114
10,8.12966,0.33475,0.52987,0.84772,0.98937,1,0.995,0.93768,0.32057,0.31627,0.80488,0.000377486,0.000377486,0.000377486
11,9.01247,0.31172,0.44451,0.83099,0.98167,0.98989,0.995,0.89596,0.34828,0.32902,0.8037,0.000412009,0.000412009,0.000412009
12,9.84464,0.30493,0.3981,0.81546,0.94729,0.97441,0.995,0.90281,0.3769,0.37361,0.80241,0.000445684,0.000445684,0.000445684
13,10.6773,0.32469,0.43222,0.85275,0.98448,1,0.995,0.93437,0.33563,0.28105,0.79395,0.000478509,0.000478509,0.000478509
14,11.441,0.3059,0.3833,0.84341,0.98975,1,0.995,0.91747,0.3624,0.29227,0.804,0.000510486,0.000510486,0.000510486
15,12.2191,0.29309,0.37216,0.81994,0.97396,1,0.995,0.92598,0.35561,0.30542,0.82212,0.000541614,0.000541614,0.000541614
16,13.037,0.36112,0.42714,0.82655,0.96457,0.95238,0.98917,0.8814,0.42215,0.54643,0.84778,0.000571893,0.000571893,0.000571893
17,13.8301,0.33158,0.42014,0.85189,0.72467,0.8921,0.88149,0.79154,0.44749,1.6051,0.87185,0.000601323,0.000601323,0.000601323
18,14.6016,0.33688,0.44141,0.86448,0.75138,0.88501,0.82878,0.73852,0.48121,1.77266,0.86963,0.000629905,0.000629905,0.000629905
19,15.3596,0.34815,0.40732,0.83695,0.7599,0.85371,0.78053,0.67747,0.50837,1.55543,0.87959,0.000657637,0.000657637,0.000657637
