,time,yaw,pitch,yaw_velocity,pitch_velocity,yaw_duty_cycle,pitch_duty_cycle
0,0.0,-45.875,0.9375,-0.0,-0.3125,0.0,0.0
1,0.1,-45.875,0.9375,-0.3125,-0.25,0.0,0.0
2,0.2,-45.875,0.9375,-0.0625,0.125,0.0,0.0
3,0.3,-45.875,0.9375,-0.0625,-0.125,0.0,0.0
4,0.4,-45.875,0.9375,0.0625,-0.0625,0.0,0.0
5,0.5,-45.875,0.9375,-0.0,-0.25,0.0,0.0
6,0.6,-45.875,0.9375,-0.0,-0.0625,0.0,0.0
7,0.7,-45.875,0.9375,-0.0,-0.1875,0.0,0.0
8,0.8,-45.875,0.9375,-0.125,0.0625,0.0,0.0
9,0.9,-45.875,0.9375,0.0625,-0.0625,0.0,0.0
10,1.0,-42.5625,3.6875,46.875,48.6875,1.0,0.9917188
11,1.1,-36.75,8.6875,48.875,47.6875,1.0,0.8395834
12,1.2,-30.5625,13.4375,49.375,39.625,1.0,0.4020313
13,1.3,-24.375,16.5,49.9375,15.8125,1.0,-0.08947915
14,1.4,-18.4375,15.4375,48.8125,-26.6875,1.0,-0.473125
15,1.5,-12.625,11.3125,49.6875,-33.9375,1.0,-0.4618229
16,1.6,-6.8125,7.4375,51.1875,-20.5625,1.0,-0.1044792
17,1.7,-0.875,6.4375,50.6875,7.875,1.0,0.2929688
18,1.8,4.625,8.125,50.75,28.375,1.0,0.4410417
19,1.9,10.625,11.3125,49.5,27.875,1.0,0.3160417
20,2.0,16.5625,13.6875,49.75,13.5625,1.0,0.001406257
21,2.1,22.5625,13.5625,49.625,-7.375,1.0,-0.2746875
22,2.2,28.0625,11.75,50.375,-20.4375,1.0,-0.3196354
23,2.3,34.0625,9.25,51.25,-14.5,1.0,-0.1811979
24,2.4,40.0625,8.5625,50.5625,1.9375,1.0,0.06151042
25,2.5,46.125,8.5,51.4375,0.5625,1.0,0.1472917
26,2.6,50.75,8.625,3.25,3.0625,1.0,0.1767709
27,2.7,50.75,8.4375,0.375,-2.1875,1.0,0.1870833
28,2.8,50.75,8.6875,0.125,6.625,1.0,0.2290104
29,2.9,50.75,9.6875,-0.1875,10.1875,0.7907548,0.226875
30,3.0,50.3125,10.8125,-5.0,4.5625,0.3423172,0.1401563
31,3.1,49.875,11.0625,-7.3125,-0.125,-0.05598997,0.02416667
32,3.2,48.5,11.0625,-23.3125,0.0625,-0.4479171,-0.01723958
33,3.3,44.5625,11.1875,-41.5,-0.625,-0.7260418,-0.03406249
34,3.4,39.4375,11.3125,-42.9375,-0.0625,-0.6904951,-0.0643229
35,3.5,34.4375,11.5,-39.5625,-0.0,-0.4614586,-0.09656248
36,3.6,30.8125,11.625,-23.125,-0.0625,-0.1720055,-0.1375
37,3.7,29.0,11.625,-5.4375,-3.1875,0.03281213,-0.1746875
38,3.8,29.0,11.0625,1.3125,-6.3125,0.08281217,-0.2004166
39,3.9,29.0,10.25,-0.0,-5.8125,-0.0484379,-0.1656771
40,4.0,28.875,9.8125,-2.0,-0.6875,-0.1796879,-0.09515623
41,4.1,28.1875,9.875,-11.4375,-0.5,-0.296615,-0.05208331
42,4.2,26.25,9.9375,-20.25,-0.125,-0.3472661,0.0
43,4.3,23.8125,10.0625,-17.875,0.0625,-0.2446619,0.02421875
44,4.4,22.1875,10.1875,-4.875,0.125,-0.05651083,0.01010417
45,4.5,22.25,10.1875,-0.0625,0.125,0.07408815,0.0
46,4.6,22.25,10.1875,-0.0,-0.0625,0.03502565,-0.004322918
47,4.7,22.25,10.1875,-0.0625,0.375,0.002213137,0.0
48,4.8,22.25,10.1875,-0.0,0.125,-0.03059936,-0.004322918
49,4.9,22.25,10.1875,-0.0,-0.0,-0.06341187,0.0
50,5.0,22.25,10.1875,0.1875,0.25,-0.09622437,-0.004322918
51,5.1,22.25,10.1875,-0.0625,-0.0,-0.1290369,0.0
