epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,33.4002,0.37885,0.3641,0.81561,0.88527,0.65042,0.81243,0.69302,0.59165,1.16944,0.89379,0.00123566,0.00123566,0.00123566
43,34.1666,0.38833,0.42134,0.87643,0.74598,0.74038,0.87744,0.74569,0.55837,1.14909,0.8838,0.00123094,0.00123094,0.00123094
44,35.0991,0.38444,0.48138,0.86488,0.82852,0.71197,0.8725,0.74138,0.52215,0.96384,0.88357,0.00122622,0.00122622,0.00122622
45,35.8583,0.37659,0.36801,0.83575,0.82852,0.71197,0.8725,0.74138,0.52215,0.96384,0.88357,0.00122151,0.00122151,0.00122151
46,36.6322,0.40026,0.43902,0.87339,0.93635,0.92626,0.995,0.87942,0.39796,0.54455,0.81938,0.00121679,0.00121679,0.00121679
47,37.4097,0.33771,0.36455,0.84779,0.96824,1,0.995,0.85067,0.45421,0.41613,0.82464,0.00121208,0.00121208,0.00121208
48,38.2293,0.40329,0.41414,0.83919,0.88602,0.93553,0.95602,0.8425,0.42897,0.47477,0.80094,0.00120736,0.00120736,0.00120736
49,38.9814,0.34398,0.37492,0.83486,0.88602,0.93553,0.95602,0.8425,0.42897,0.47477,0.80094,0.00120265,0.00120265,0.00120265
50,39.7498,0.3363,0.3285,0.80593,0.97902,1,0.995,0.8729,0.37787,0.38609,0.78183,0.00119793,0.00119793,0.00119793
51,40.5403,0.36657,0.35977,0.82564,0.98274,1,0.995,0.88576,0.40676,0.36427,0.78984,0.00119322,0.00119322,0.00119322
52,41.3541,0.36374,0.40337,0.83245,0.97383,1,0.995,0.90732,0.35569,0.33404,0.7792,0.0011885,0.0011885,0.0011885
53,42.1099,0.34866,0.36564,0.82448,0.97383,1,0.995,0.90732,0.35569,0.33404,0.7792,0.00118378,0.00118378,0.00118378
54,42.978,0.32149,0.34355,0.80266,0.9853,1,0.995,0.89896,0.33507,0.31915,0.77108,0.00117907,0.00117907,0.00117907
55,43.7969,0.3439,0.34417,0.81243,0.98877,1,0.995,0.85658,0.39025,0.33895,0.77273,0.00117435,0.00117435,0.00117435
56,44.5817,0.34485,0.34995,0.80534,0.97634,1,0.995,0.88423,0.35257,0.33369,0.76724,0.00116964,0.00116964,0.00116964
57,45.3323,0.32615,0.31997,0.80525,0.97634,1,0.995,0.88423,0.35257,0.33369,0.76724,0.00116492,0.00116492,0.00116492
58,46.0955,0.30972,0.3112,0.79664,0.98157,1,0.995,0.93165,0.3225,0.32179,0.76581,0.00116021,0.00116021,0.00116021
59,46.9176,0.33486,0.3426,0.81393,0.98018,0.99546,0.995,0.93571,0.30492,0.27694,0.76517,0.00115549,0.00115549,0.00115549
60,47.6921,0.31831,0.34078,0.80801,0.97373,0.99689,0.995,0.93941,0.30129,0.28369,0.76586,0.00115077,0.00115077,0.00115077
61,48.4456,0.32223,0.31846,0.79942,0.97373,0.99689,0.995,0.93941,0.30129,0.28369,0.76586,0.00114606,0.00114606,0.00114606
62,49.2098,0.30582,0.29808,0.79583,0.97545,1,0.995,0.92686,0.31932,0.29727,0.76599,0.00114134,0.00114134,0.00114134
63,50.1405,0.30392,0.32059,0.82333,0.98309,1,0.995,0.90724,0.33726,0.28388,0.76652,0.00113663,0.00113663,0.00113663
64,50.9085,0.30595,0.28195,0.79535,0.98393,1,0.995,0.89905,0.33727,0.28747,0.7692,0.00113191,0.00113191,0.00113191
65,51.6707,0.30648,0.31898,0.80975,0.98393,1,0.995,0.89905,0.33727,0.28747,0.7692,0.0011272,0.0011272,0.0011272
66,52.4574,0.32282,0.2921,0.80611,0.98222,1,0.995,0.90117,0.32579,0.29477,0.7657,0.00112248,0.00112248,0.00112248
67,53.2802,0.30491,0.31302,0.79967,0.98343,1,0.995,0.93807,0.30751,0.26658,0.76655,0.00111776,0.00111776,0.00111776
68,54.0525,0.31001,0.33935,0.80748,0.98098,1,0.995,0.95595,0.29854,0.28621,0.7724,0.00111305,0.00111305,0.00111305
69,54.8082,0.31367,0.35616,0.81236,0.98098,1,0.995,0.95595,0.29854,0.28621,0.7724,0.00110833,0.00110833,0.00110833
70,55.61,0.29976,0.33145,0.80883,0.84313,1,0.995,0.9078,0.32422,0.55965,0.77919,0.00110362,0.00110362,0.00110362
71,56.4037,0.29995,0.33026,0.79416,0.89852,0.95575,0.995,0.91906,0.35313,0.4855,0.77704,0.0010989,0.0010989,0.0010989
72,57.1715,0.3043,0.29911,0.78679,0.94857,1,0.995,0.90241,0.3139,0.38538,0.77111,0.00109419,0.00109419,0.00109419
73,57.9261,0.30338,0.31321,0.80472,0.94857,1,0.995,0.90241,0.3139,0.38538,0.77111,0.00108947,0.00108947,0.00108947
74,58.8518,0.30074,0.33616,0.80798,0.98013,1,0.995,0.89776,0.30382,0.35521,0.76888,0.00108475,0.00108475,0.00108475
75,59.6326,0.31614,0.32685,0.82172,0.98172,1,0.995,0.91378,0.29384,0.34541,0.77187,0.00108004,0.00108004,0.00108004
76,60.401,0.28594,0.33159,0.80703,0.98262,1,0.995,0.91304,0.30486,0.2952,0.77667,0.00107532,0.00107532,0.00107532
77,61.1599,0.32075,0.31344,0.80648,0.98262,1,0.995,0.91304,0.30486,0.2952,0.77667,0.00107061,0.00107061,0.00107061
78,61.9908,0.31276,0.31857,0.80837,0.98661,1,0.995,0.92624,0.30901,0.2758,0.76878,0.00106589,0.00106589,0.00106589
79,62.7632,0.31521,0.301,0.82036,0.98699,1,0.995,0.90919,0.29783,0.27939,0.77263,0.00106118,0.00106118,0.00106118
80,63.5306,0.31229,0.29817,0.80247,0.98024,1,0.995,0.89937,0.28668,0.26904,0.77105,0.00105646,0.00105646,0.00105646
81,64.295,0.29905,0.28879,0.79332,0.98024,1,0.995,0.89937,0.28668,0.26904,0.77105,0.00105174,0.00105174,0.00105174
82,65.125,0.30104,0.28349,0.81361,0.96179,0.99484,0.995,0.92095,0.29406,0.27209,0.76935,0.00104703,0.00104703,0.00104703
83,65.8966,0.32517,0.34788,0.80815,0.97881,0.99778,0.995,0.92009,0.31556,0.29131,0.77301,0.00104231,0.00104231,0.00104231
84,66.77,0.32419,0.32563,0.83746,0.98786,1,0.995,0.92782,0.34175,0.3181,0.77001,0.0010376,0.0010376,0.0010376
85,67.5608,0.34217,0.37393,0.80007,0.98786,1,0.995,0.92782,0.34175,0.3181,0.77001,0.00103288,0.00103288,0.00103288
86,68.371,0.31327,0.3253,0.81515,0.98849,0.99226,0.995,0.90621,0.3389,0.34293,0.76821,0.00102817,0.00102817,0.00102817
87,69.1413,0.30506,0.35782,0.79871,0.9875,1,0.995,0.88199,0.31542,0.35602,0.76473,0.00102345,0.00102345,0.00102345
88,69.913,0.33201,0.29711,0.79597,0.96979,1,0.995,0.9044,0.3119,0.35255,0.76509,0.00101873,0.00101873,0.00101873
89,70.7205,0.30858,0.28366,0.79776,0.96979,1,0.995,0.9044,0.3119,0.35255,0.76509,0.00101402,0.00101402,0.00101402
90,71.5169,0.29764,0.27074,0.78859,0.96746,1,0.995,0.91383,0.30171,0.32827,0.7723,0.0010093,0.0010093,0.0010093
91,72.2863,0.30383,0.26824,0.81151,0.97921,1,0.995,0.9268,0.28799,0.28351,0.76907,0.00100459,0.00100459,0.00100459
92,73.0569,0.31093,0.3223,0.8129,0.98543,1,0.995,0.91649,0.27738,0.28494,0.76566,0.000999871,0.000999871,0.000999871
93,73.8794,0.29318,0.28996,0.80712,0.98543,1,0.995,0.91649,0.27738,0.28494,0.76566,0.000995156,0.000995156,0.000995156
94,74.6611,0.27994,0.27072,0.79991,0.98496,1,0.995,0.93241,0.29248,0.28923,0.76841,0.00099044,0.00099044,0.00099044
95,75.5293,0.28682,0.26434,0.81142,0.98403,1,0.995,0.95718,0.25835,0.25887,0.7628,0.000985724,0.000985724,0.000985724
96,76.306,0.29678,0.27563,0.80621,0.98594,1,0.995,0.92467,0.28819,0.26681,0.76257,0.000981008,0.000981008,0.000981008
97,77.1288,0.27958,0.2715,0.79961,0.98594,1,0.995,0.92467,0.28819,0.26681,0.76257,0.000976293,0.000976293,0.000976293
98,77.9042,0.2947,0.29228,0.78593,0.98789,1,0.995,0.9123,0.33411,0.28889,0.7624,0.000971577,0.000971577,0.000971577
99,78.6762,0.29601,0.29689,0.79273,0.98942,1,0.995,0.92701,0.30189,0.26621,0.75613,0.000966861,0.000966861,0.000966861
100,79.4689,0.29806,0.27772,0.81501,0.98774,1,0.995,0.95266,0.28563,0.25052,0.75614,0.000962146,0.000962146,0.000962146
101,80.2749,0.28255,0.27889,0.81254,0.98774,1,0.995,0.95266,0.28563,0.25052,0.75614,0.00095743,0.00095743,0.00095743
102,81.0431,0.29474,0.27847,0.82145,0.98459,1,0.995,0.91982,0.33155,0.28992,0.76296,0.000952714,0.000952714,0.000952714
103,81.8157,0.26524,0.24452,0.7666,0.98331,1,0.995,0.94234,0.31676,0.27993,0.76876,0.000947999,0.000947999,0.000947999
104,82.7327,0.28044,0.26667,0.80192,0.98527,1,0.995,0.93358,0.29929,0.2504,0.76614,0.000943283,0.000943283,0.000943283
105,83.51,0.2938,0.25603,0.82734,0.98527,1,0.995,0.93358,0.29929,0.2504,0.76614,0.000938567,0.000938567,0.000938567
106,84.2778,0.2874,0.2774,0.80694,0.98629,1,0.995,0.93165,0.28849,0.26351,0.7658,0.000933851,0.000933851,0.000933851
107,85.0447,0.26588,0.24986,0.80405,0.98889,1,0.995,0.92138,0.33643,0.26249,0.76721,0.000929136,0.000929136,0.000929136
108,85.8593,0.2736,0.26782,0.82428,0.98946,1,0.995,0.901,0.37715,0.25985,0.76882,0.00092442,0.00092442,0.00092442
109,86.6279,0.29582,0.26383,0.78981,0.98946,1,0.995,0.901,0.37715,0.25985,0.76882,0.000919704,0.000919704,0.000919704
110,87.3979,0.2863,0.29704,0.77778,0.98529,1,0.995,0.92585,0.29341,0.23487,0.76357,0.000914989,0.000914989,0.000914989
111,88.1638,0.29743,0.27681,0.79633,0.97818,1,0.995,0.94063,0.26467,0.24053,0.76013,0.000910273,0.000910273,0.000910273
112,88.9963,0.30108,0.30173,0.80836,0.97174,1,0.995,0.93983,0.267,0.26957,0.7644,0.000905557,0.000905557,0.000905557
113,89.7621,0.28186,0.27764,0.79738,0.97174,1,0.995,0.93983,0.267,0.26957,0.7644,0.000900842,0.000900842,0.000900842
114,90.5311,0.28463,0.26444,0.80996,0.98348,1,0.995,0.95125,0.28221,0.2402,0.76387,0.000896126,0.000896126,0.000896126
115,91.4167,0.28598,0.25763,0.80334,0.98495,1,0.995,0.9447,0.29564,0.2482,0.76187,0.00089141,0.00089141,0.00089141
116,92.2434,0.27763,0.24023,0.79355,0.98848,1,0.995,0.95014,0.30431,0.24874,0.76216,0.000886694,0.000886694,0.000886694
117,93.0005,0.2808,0.23048,0.79518,0.98848,1,0.995,0.95014,0.30431,0.24874,0.76216,0.000881979,0.000881979,0.000881979
