epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18.6381,0.39509,0.57641,0.82598,0.9192,0.89085,0.995,0.91686,0.40116,0.49532,0.79121,0.000348077,0.000348077,0.000348077
43,19.1117,0.41247,0.64456,0.83818,0.76335,1,0.995,0.90372,0.39975,0.5289,0.79407,0.000350625,0.000350625,0.000350625
44,19.5554,0.3193,0.45382,0.77968,0.76335,1,0.995,0.90372,0.39975,0.5289,0.79407,0.00035289,0.00035289,0.00035289
45,19.9983,0.37742,0.48981,0.80079,0.77442,0.98307,0.995,0.88273,0.43184,0.52079,0.81128,0.000354872,0.000354872,0.000354872
46,20.4062,0.35728,0.49868,0.81145,0.77442,0.98307,0.995,0.88273,0.43184,0.52079,0.81128,0.000356571,0.000356571,0.000356571
47,20.8373,0.34414,0.51563,0.82131,0.77629,1,0.995,0.8975,0.44715,0.52075,0.80743,0.000357987,0.000357987,0.000357987
48,21.2471,0.34013,0.50383,0.77072,0.77629,1,0.995,0.8975,0.44715,0.52075,0.80743,0.000359121,0.000359121,0.000359121
49,21.676,0.36065,0.47319,0.81815,0.79222,1,0.995,0.89093,0.39461,0.4828,0.80162,0.000359971,0.000359971,0.000359971
50,22.1025,0.44413,0.63102,0.78872,0.79222,1,0.995,0.89093,0.39461,0.4828,0.80162,0.000360538,0.000360538,0.000360538
51,22.5534,0.38443,0.54963,0.85083,0.85922,1,0.995,0.90063,0.38379,0.42743,0.80264,0.000360822,0.000360822,0.000360822
52,22.9771,0.32386,0.41245,0.77771,0.85922,1,0.995,0.90063,0.38379,0.42743,0.80264,0.000360824,0.000360824,0.000360824
53,23.3909,0.3643,0.47384,0.79578,0.85922,1,0.995,0.90063,0.38379,0.42743,0.80264,0.000360542,0.000360542,0.000360542
